agent_id,agent_type,model_architecture,deployment_environment,task_category,task_complexity,autonomy_level,success_rate,accuracy_score,efficiency_score,execution_time_seconds,response_latency_ms,memory_usage_mb,cpu_usage_percent,cost_per_task_cents,human_intervention_required,error_recovery_rate,multimodal_capability,edge_compatibility,privacy_compliance_score,bias_detection_score,timestamp,data_quality_score,performance_index,cost_efficiency_ratio,autonomous_capability_score,overall_performance_score,resource_efficiency_score,cost_effectiveness,weighted_quality_score,complexity_autonomy_ratio,success_autonomy_interaction,latency_per_operation,arch_performance_benchmark,env_avg_cost_per_complexity,hour_of_day,is_weekend
AG_01509,Document Processor,Transformer-XL,Edge,Decision Making,5,7,0.5192,0.6209,0.5956,35.85,986.52,316.2,57.0,0.0151,True,0.5542,False,True,0.9262,0.7354,2024-12-24 04:16:16,0.9418,0.57263,35.56708074534161,108.794,0.5785666666666667,0.033045929180953657,38.31567328918322,0.6444,1.4,3.6344,27.517991631799163,0.0608833333333334,0.0033751567840054684,4,False
AG_02958,Sales Assistant,Transformer-XL,Cloud,Planning & Scheduling,3,5,0.6438,0.693,0.6946,39.15,442.2,266.1,39.6,0.0157,True,0.693,False,False,0.8714,0.9121,2024-12-24 04:16:16,0.8949,0.6738,40.34730538922155,98.51,0.6771333333333334,0.06591658790080436,43.12951167728238,0.7137000000000001,1.6666666666666667,3.2190000000000003,11.295019157088122,0.1594500000000001,0.003354148856764928,4,False
AG_03456,Customer Service,Claude-3.5,Mobile,Planning & Scheduling,4,5,0.6147,0.7148,0.6557,39.81,2117.33,355.2,39.0,0.0168,True,0.6601,False,True,0.8433,0.6423,2024-12-24 04:16:16,0.8495,0.65703,36.91179775280899,96.207,0.6617333333333333,0.04733339108339108,39.388888888888886,0.7017000000000001,1.25,3.0735,53.18588294398392,0.09544999999999992,0.0033529413220314583,4,False
AG_04860,Translation Agent,Mixtral-8x7B,Hybrid,Creative Writing,5,6,0.4558,0.5894,0.6593,42.46,597.04,304.7,46.6,0.0172,True,0.5822,False,True,0.8351,0.71,2024-12-24 04:16:16,0.7919,0.55693,30.60054945054945,100.754,0.5681666666666666,0.04643278198072824,33.0329457364341,0.57646,1.2,2.7348,14.061234102684878,0.04519999999999991,0.0032901654732797768,4,False
AG_04181,Document Processor,CodeT5+,Mobile,Data Analysis,8,10,0.3414,0.5009,0.5439,99.87,373.95,464.5,92.1,0.0379,True,0.4561,True,True,0.7877,0.7237,2024-12-24 04:16:16,0.7935,0.4499999999999999,11.568123393316194,131.927,0.4620666666666667,0.012713751257875971,12.191732629727353,0.49562,1.25,3.4139999999999997,3.7443676779813755,-0.0820999999999999,0.0033529413220314583,4,False
AG_04531,HR Recruiter,InstructGPT,Edge,Communication,3,4,0.6555,0.7266,0.7687,23.68,271.04,305.0,16.7,0.0109,True,0.7632,False,True,0.8454,0.7512,2024-12-24 04:16:16,0.9606,0.71079,59.73025210084033,93.424,0.7169333333333333,0.1509178364582311,65.7737003058104,0.7449600000000001,1.3333333333333333,2.622,11.445945945945947,0.16475000000000006,0.0033751567840054684,4,False
AG_04649,Code Assistant,Claude-3.5,Server,Text Processing,7,6,0.3949,0.5681,0.4982,15.99,1102.45,444.3,74.9,0.0098,True,0.5419,False,False,0.9493,0.7267,2024-12-24 04:16:16,0.9487,0.4778499999999999,44.24537037037036,97.933,0.4870666666666667,0.01497082012268139,49.70068027210885,0.57494,0.8571428571428571,2.3693999999999997,68.94621638524077,-0.07921666666666666,0.0033007674175458608,4,False
AG_03789,Customer Service,CodeT5+,Edge,Creative Writing,3,3,0.7581,0.7492,0.7778,36.22,1538.73,304.1,32.4,0.0151,False,0.8915,True,True,0.7473,0.949,2024-12-24 04:16:16,0.9353,0.76134,47.28819875776398,112.405,0.7616999999999999,0.07894170614766911,50.44370860927152,0.78998,1.0,2.2743,42.48288238542242,0.21753333333333336,0.0033751567840054684,4,False
AG_01302,Content Creator,Transformer-XL,Mobile,Problem Solving,7,8,0.3596,0.455,0.5105,91.31,216.62,431.0,66.0,0.0347,True,0.4095,False,True,0.9092,0.8157,2024-12-24 04:16:16,0.951,0.43349,12.142577030812324,108.665,0.4417,0.01794628418758349,12.729106628242073,0.51604,1.1428571428571428,2.8768,2.3723579016537073,-0.07598333333333329,0.0033529413220314583,4,False
AG_03783,Task Planner,InstructGPT,Cloud,Code Generation,5,6,0.6128,0.6743,0.7004,58.69,900.35,367.7,62.1,0.0232,True,0.654,False,False,0.7261,0.8931,2024-12-24 04:16:16,0.8532,0.65753,27.170661157024792,105.78,0.6625000000000001,0.03067332861233844,28.556034482758626,0.68548,1.2,3.6768,15.340773555972058,0.11031666666666684,0.003354148856764928,4,False
AG_04592,Project Manager,PaLM-2,Edge,Text Processing,5,4,0.5154,0.5883,0.683,11.45,3981.0,355.6,57.0,0.0074,True,0.5626,False,True,0.7682,0.9494,2024-12-24 04:16:16,0.9456,0.58755,69.94642857142857,79.382,0.5955666666666667,0.03369644583900697,80.48198198198199,0.6306,0.8,2.0616,347.6855895196507,0.06281666666666663,0.0033751567840054684,4,False
AG_03196,HR Recruiter,InstructGPT,Server,Research & Summarization,7,5,0.3457,0.5763,0.5748,53.2,816.49,417.8,69.7,0.0219,True,0.3616,True,False,0.739,0.7845,2024-12-24 04:16:16,0.7902,0.48361,21.118340611353712,75.312,0.4989333333333333,0.0197385636177202,22.782343987823438,0.52684,0.7142857142857143,1.7285,15.347556390977443,-0.053249999999999964,0.0033007674175458608,4,False
AG_02096,QA Tester,PaLM-2,Edge,Problem Solving,8,7,0.3071,0.4806,0.4605,78.8,117.75,505.4,93.4,0.0313,True,0.3282,False,True,0.8498,0.7355,2024-12-24 04:16:16,0.9189,0.40517,12.543962848297214,92.974,0.41606666666666675,0.009755454792735247,13.292864749733761,0.4988600000000001,0.875,2.1496999999999997,1.494289340101523,-0.1166833333333333,0.0033751567840054684,4,False
AG_02527,Document Processor,Falcon-180B,Hybrid,Problem Solving,9,10,0.3,0.4,0.4676,16.14,344.94,508.7,82.4,0.0105,True,0.4377,False,True,0.8031,0.9209,2024-12-24 04:16:16,0.8474,0.3802799999999999,33.067826086956515,130.639,0.3892,0.011155410421768033,37.06666666666666,0.44948000000000005,1.1111111111111112,3.0,21.37174721189591,-0.13813333333333333,0.0032901654732797768,4,False
AG_01238,Data Analyst,LLaMA-3,Edge,Research & Summarization,5,4,0.5771,0.5895,0.6144,49.63,502.84,389.0,60.6,0.0204,True,0.6989,False,True,0.9408,0.8504,2024-12-24 04:16:16,0.9577,0.5920099999999999,27.66401869158878,88.923,0.5936666666666666,0.026063274707933515,29.101307189542478,0.65818,0.8,2.3084,10.131775136006446,0.04673333333333318,0.0033751567840054684,4,False
AG_04306,Task Planner,Mixtral-8x7B,Edge,Problem Solving,7,5,0.4213,0.5183,0.5366,80.06,1285.82,500.4,74.9,0.0317,True,0.5528,False,True,0.7416,0.8038,2024-12-24 04:16:16,0.9531,0.48499,14.831498470948013,88.696,0.49206666666666665,0.014316984329759155,15.52260778128286,0.56646,0.7142857142857143,2.1065,16.060704471646265,-0.03090000000000004,0.0033751567840054684,4,False
AG_04718,Sales Assistant,Gemini-Pro,Hybrid,Communication,3,2,0.7677,0.7011,0.7382,26.63,1550.1,265.1,40.5,0.0115,False,0.8603,False,True,0.8002,0.7126,2024-12-24 04:16:16,0.8314,0.73887,59.1096,100.221,0.7356666666666666,0.06875579213061922,63.97101449275362,0.7538,0.6666666666666666,1.5354,58.208787082238075,0.18203333333333327,0.0032901654732797768,4,False
AG_04040,Code Assistant,LLaMA-3,Edge,Planning & Scheduling,7,8,0.4361,0.431,0.5759,30.77,1682.61,447.7,71.2,0.0147,True,0.5538,False,True,0.7849,0.622,2024-12-24 04:16:16,0.7897,0.47651,30.35095541401274,118.766,0.48100000000000004,0.018066748148464182,32.721088435374156,0.50478,1.1428571428571428,3.4888,54.68345791355216,-0.06593333333333334,0.0033751567840054684,4,False
AG_01883,Financial Advisor,Falcon-180B,Edge,Learning & Adaptation,8,9,0.3423,0.4078,0.4731,94.99,1031.78,506.8,82.7,0.0367,True,0.4844,False,True,0.9093,0.791,2024-12-24 04:16:16,0.8079,0.40119,10.641644562334216,123.908,0.40773333333333334,0.011287839673070189,11.109900090826521,0.46162000000000003,1.125,3.0806999999999998,10.861985472154965,-0.11959999999999998,0.0033751567840054684,4,False
AG_04730,Code Assistant,Claude-3.5,Server,Problem Solving,9,8,0.3,0.4029,0.5009,114.32,1502.12,556.0,96.3,0.0437,True,0.3564,False,True,0.9451,0.6271,2024-12-24 04:16:16,0.9255,0.3911399999999999,8.750335570469796,104.948,0.40126666666666666,0.009355132716256901,9.18230358504958,0.46626,0.8888888888888888,2.4,13.13960811756473,-0.1650166666666667,0.0033007674175458608,4,False
AG_02797,Content Creator,LLaMA-3,Mobile,Text Processing,5,5,0.5346,0.6417,0.631,5.66,1260.69,340.7,67.5,0.0053,True,0.6524,False,True,0.8131,0.6322,2024-12-24 04:16:16,0.9408,0.59565,94.54761904761904,95.668,0.6024333333333333,0.027438063246692537,113.66666666666666,0.65868,1.0,2.673,222.73674911660777,0.05549999999999988,0.0033529413220314583,4,False
AG_03669,Data Analyst,InstructGPT,Mobile,Creative Writing,8,6,0.3,0.4139,0.5487,16.07,679.35,526.1,93.8,0.0106,True,0.4192,False,True,0.7693,0.6479,2024-12-24 04:16:16,0.8714,0.40878,35.23965517241379,89.344,0.42086666666666667,0.011118951094042373,39.70440251572327,0.45984,0.75,1.7999999999999998,42.2744243932794,-0.13131666666666658,0.0033529413220314583,4,False
AG_02375,Customer Service,GPT-4o,Mobile,Research & Summarization,8,6,0.3765,0.4684,0.488,50.96,578.09,464.1,74.5,0.0216,True,0.4558,False,True,0.7644,0.6472,2024-12-24 04:16:16,0.9548,0.43752,19.35929203539823,91.906,0.4443,0.014114060699137681,20.569444444444443,0.5289200000000001,0.75,2.259,11.343995290423862,-0.11898333333333339,0.0033529413220314583,4,False
AG_01884,Document Processor,GPT-4o,Desktop,Creative Writing,4,6,0.6229,0.7183,0.7029,30.72,1369.0,318.4,54.9,0.0134,True,0.6695,True,True,0.8234,0.726,2024-12-24 04:16:16,0.8991,0.67552,46.91111111111111,106.865,0.6813666666666668,0.040211302413707885,50.84825870646767,0.7163,1.5,3.7374,44.563802083333336,0.11808333333333343,0.0033411305751704992,4,False
AG_03408,Email Manager,Claude-3.5,Cloud,Problem Solving,8,6,0.3939,0.4143,0.5447,57.68,1854.36,498.3,96.5,0.0242,True,0.4648,False,False,0.7257,0.6859,2024-12-24 04:16:16,0.8972,0.44526,17.669047619047618,92.536,0.4509666666666667,0.011327633123604712,18.634986225895318,0.5027200000000001,0.75,2.3634,32.149098474341194,-0.11531666666666668,0.003354148856764928,4,False
AG_01005,Social Media Manager,Gemini-Pro,Desktop,Learning & Adaptation,8,8,0.3,0.4915,0.4831,90.17,932.87,558.4,90.3,0.0356,True,0.4031,False,False,0.7897,0.6696,2024-12-25 04:16:15,0.9466,0.4123799999999999,11.267213114754098,108.217,0.42486666666666667,0.00958084639866475,11.934456928838951,0.50592,1.0,2.4,10.345680381501609,-0.12876666666666664,0.0033411305751704992,4,False
AG_00893,Research Assistant,Transformer-XL,Mobile,Creative Writing,6,5,0.4735,0.5349,0.5387,51.71,115.43,415.1,76.2,0.0214,True,0.6143,True,True,0.7887,0.829,2024-12-25 04:16:15,0.7684,0.5114799999999999,22.83392857142857,93.001,0.5156999999999999,0.017030965564380333,24.098130841121492,0.5570400000000001,0.8333333333333334,2.3674999999999997,2.232256816863276,-0.001983333333333337,0.0033529413220314583,4,False
AG_00574,Task Planner,Falcon-180B,Hybrid,Data Analysis,5,7,0.4336,0.614,0.6493,35.82,1044.21,339.1,68.5,0.0153,True,0.4598,False,False,0.7902,0.941,2024-12-25 04:16:15,0.9769,0.55243,33.89141104294479,102.186,0.5656333333333333,0.027952910990233913,36.969498910675384,0.61442,1.4,3.0351999999999997,29.151591289782246,0.0383,0.0032901654732797768,4,False
AG_00983,Project Manager,Transformer-XL,Mobile,Text Processing,2,1,0.7126,0.7875,0.7476,21.24,400.89,228.6,40.6,0.0094,False,0.817,False,True,0.7669,0.6415,2024-12-25 04:16:15,0.9503,0.7455700000000001,71.68942307692309,87.19,0.7492333333333333,0.08055027604308083,79.70567375886525,0.7901,0.5,0.7126,18.874293785310734,0.23155000000000003,0.0033529413220314583,4,False
AG_00385,Project Manager,Mixtral-8x7B,Hybrid,Text Processing,4,4,0.5708,0.6586,0.6718,15.48,243.88,294.5,47.6,0.0081,True,0.6987,False,True,0.8566,0.7802,2024-12-25 04:16:15,0.7729,0.6274399999999999,68.94945054945053,88.90899999999999,0.6337333333333334,0.04792341384771225,78.23868312757203,0.64634,1.0,2.2832,15.754521963824288,0.11076666666666668,0.0032901654732797768,4,False
AG_03869,Project Manager,CodeT5+,Edge,Data Analysis,4,5,0.7428,0.7113,0.6714,82.71,1221.39,310.5,62.9,0.0307,False,0.8396,False,True,0.7974,0.9037,2024-12-25 04:16:16,0.7701,0.71193,22.458359621451105,128.772,0.7084999999999999,0.03437708808552798,23.07817589576547,0.7356600000000001,1.25,3.714,14.767138193688794,0.16433333333333333,0.0033751567840054684,4,False
AG_01489,Code Assistant,Falcon-180B,Hybrid,Learning & Adaptation,9,7,0.3,0.4174,0.4172,57.43,2207.44,528.6,87.2,0.0244,True,0.3701,False,False,0.9379,0.7145,2024-12-25 04:16:16,0.8281,0.37038,14.581889763779524,95.907,0.37820000000000004,0.009051085262438082,15.5,0.45258,0.7777777777777778,2.1,38.437053804631724,-0.14913333333333328,0.0032901654732797768,4,False
AG_04769,Financial Advisor,InstructGPT,Edge,Data Analysis,8,8,0.3624,0.4423,0.5384,69.26,1551.07,494.5,79.1,0.028,True,0.4904,False,True,0.9244,0.7478,2024-12-25 04:16:16,0.9644,0.43917,15.143793103448274,114.328,0.4477,0.013764558052611599,15.989285714285714,0.5147600000000001,1.0,2.8992,22.39488882471845,-0.10448333333333326,0.0033751567840054684,4,False
AG_03574,HR Recruiter,GPT-4o,Desktop,Planning & Scheduling,4,6,0.6506,0.6987,0.7492,16.27,163.02,273.8,52.4,0.0082,True,0.6772,False,False,0.8679,0.6414,2024-12-25 04:16:16,0.9214,0.69461,75.50108695652173,107.404,0.6995,0.052219539531278746,85.30487804878048,0.724,1.5,3.9036,10.019668100799018,0.13621666666666665,0.0033411305751704992,4,False
AG_01865,Research Assistant,PaLM-2,Server,Code Generation,7,6,0.415,0.5088,0.5153,45.05,300.02,427.2,64.0,0.0193,True,0.4267,False,False,0.7965,0.7047,2024-12-25 04:16:16,0.9054,0.47323,23.31182266009852,89.869,0.47969999999999996,0.01884729049625468,24.854922279792742,0.5506000000000001,0.8571428571428571,2.4899999999999998,6.659711431742508,-0.0530500000000001,0.0033007674175458608,4,False
AG_02871,Sales Assistant,Transformer-XL,Mobile,Learning & Adaptation,10,10,0.3,0.4,0.3596,138.84,1662.15,614.7,93.6,0.0524,True,0.313,False,True,0.8499,0.6051,2024-12-25 04:16:16,0.8521,0.3478799999999999,6.514606741573033,121.91,0.35319999999999996,0.006250008690223429,6.7404580152671745,0.45042000000000004,1.0,3.0,11.971694036300779,-0.16448333333333331,0.0033529413220314583,4,False
AG_01722,Document Processor,LLaMA-3,Server,Text Processing,4,4,0.605,0.6582,0.6959,18.26,651.68,269.4,47.3,0.0088,True,0.6431,False,False,0.9105,0.6536,2024-12-25 04:16:16,0.841,0.64823,66.14591836734694,85.017,0.6530333333333332,0.05461200286911169,74.20833333333331,0.67348,1.0,2.42,35.688937568455636,0.10609999999999986,0.0033007674175458608,4,False
AG_01267,HR Recruiter,Claude-3.5,Server,Code Generation,3,5,0.8365,0.7362,0.751,53.02,423.49,257.0,35.1,0.0202,False,0.95,False,False,0.8852,0.7137,2024-12-25 04:16:16,0.8688,0.7807599999999999,36.828301886792445,136.5,0.7745666666666667,0.08325296263039453,38.34488448844885,0.8028400000000001,1.6666666666666667,4.1825,7.987363259147491,0.20828333333333338,0.0033007674175458608,4,False
AG_01224,Sales Assistant,Transformer-XL,Server,Data Analysis,4,5,0.6598,0.6832,0.6754,39.31,135.35,290.0,55.4,0.016,True,0.6935,False,True,0.7192,0.7685,2024-12-25 04:16:16,0.7889,0.6715000000000001,39.5,98.545,0.6728,0.042039088758869664,42.05,0.6949800000000002,1.25,3.2990000000000004,3.4431442381073514,0.15511666666666668,0.0033007674175458608,4,False
AG_02143,Social Media Manager,CodeT5+,Server,Text Processing,6,6,0.5065,0.5781,0.584,26.66,809.76,401.2,64.7,0.0129,True,0.591,False,False,0.803,0.777,2024-12-25 04:16:16,0.8928,0.55123,39.656834532374106,101.37,0.5562,0.022498193210168563,43.116279069767444,0.6124,1.0,3.0389999999999997,30.373593398349588,0.012033333333333451,0.0033007674175458608,4,False
AG_03775,QA Tester,GPT-4o,Desktop,Problem Solving,8,10,0.5128,0.4991,0.5406,106.91,144.81,559.2,92.1,0.0412,True,0.6018,False,True,0.7654,0.7166,2024-12-25 04:16:16,0.9572,0.51703,12.251895734597156,142.126,0.5175,0.010496614521442916,12.560679611650484,0.5962000000000001,1.25,5.128,1.3545037882330933,-0.0457833333333334,0.0033411305751704992,4,False
AG_03478,Data Analyst,Mixtral-8x7B,Desktop,Problem Solving,6,4,0.4838,0.5504,0.562,61.02,607.15,384.1,75.6,0.0242,True,0.5805,False,False,0.9484,0.8902,2024-12-25 04:16:16,0.7955,0.52724,20.922222222222224,80.63499999999999,0.5320666666666667,0.019353976656762393,21.986225895316807,0.5727800000000001,0.6666666666666666,1.9352,9.950016388069484,0.009099999999999997,0.0033411305751704992,4,False
AG_04148,Content Creator,Transformer-XL,Desktop,Creative Writing,6,6,0.4417,0.5908,0.5499,49.73,303.41,385.6,40.9,0.0204,True,0.4563,True,False,0.7471,0.857,2024-12-25 04:16:16,0.8596,0.5188900000000001,24.247196261682245,91.941,0.5274666666666666,0.034867706885531966,25.856209150326794,0.5849200000000001,1.0,2.6502,6.1011461894228844,0.009783333333333366,0.0033411305751704992,4,False
AG_03386,Content Creator,Claude-3.5,Desktop,Learning & Adaptation,7,8,0.4055,0.5156,0.5355,107.92,384.46,457.7,83.4,0.0405,True,0.415,False,False,0.9674,0.6179,2024-12-25 04:16:16,0.9629,0.47753,11.506746987951807,109.05,0.4855333333333333,0.014028541204615507,11.988477366255143,0.56102,1.1428571428571428,3.244,3.562453669384729,-0.08075000000000004,0.0033411305751704992,4,False
AG_03827,Customer Service,InstructGPT,Desktop,Planning & Scheduling,6,5,0.3726,0.6059,0.6456,31.09,2982.08,424.1,75.6,0.0146,True,0.4059,False,False,0.7482,0.8618,2024-12-25 04:16:16,0.896,0.52449,33.621153846153845,78.413,0.5413666666666667,0.02013601164744763,37.07990867579909,0.5706,0.8333333333333334,1.863,95.91765841106465,-0.010816666666666586,0.0033411305751704992,4,False
AG_01929,Social Media Manager,Gemini-Pro,Edge,Data Analysis,8,9,0.3146,0.5061,0.4883,50.78,232.24,514.6,78.8,0.0221,True,0.4456,False,True,0.853,0.7966,2024-12-25 04:16:16,0.7516,0.42416,18.36190476190476,121.192,0.4363333333333333,0.012041781009743903,19.74358974358974,0.4786,1.125,2.8314,4.57345411579362,-0.11730000000000002,0.0033751567840054684,4,False
AG_00721,Project Manager,Gemini-Pro,Hybrid,Creative Writing,6,5,0.4553,0.5447,0.5878,28.0,303.8,481.7,76.4,0.0142,True,0.5907,False,False,0.9569,0.9257,2024-12-26 04:16:15,0.8122,0.5218700000000001,34.33355263157895,91.349,0.5292666666666667,0.01597201012556967,37.27230046948357,0.56244,0.8333333333333334,2.2765,10.85,-0.024366666666666648,0.0032901654732797768,4,False
AG_00423,Task Planner,Falcon-180B,Desktop,Decision Making,5,4,0.5492,0.5903,0.6077,51.92,444.15,303.5,66.6,0.0203,True,0.6153,False,False,0.7729,0.8934,2024-12-26 04:16:15,0.9146,0.57908,27.186854460093898,83.071,0.5823999999999999,0.03006466103665445,28.68965517241379,0.6387200000000001,0.8,2.1968,8.554506933744221,0.0550666666666666,0.0033411305751704992,4,False
AG_00952,Email Manager,PaLM-2,Server,Planning & Scheduling,4,4,0.593,0.6647,0.7039,29.03,1488.9,361.1,49.8,0.0133,True,0.6296,False,False,0.8206,0.7657,2024-12-26 04:16:15,0.9212,0.6477799999999999,45.299300699300694,84.072,0.6538666666666666,0.039143002361147726,49.16290726817042,0.6873199999999999,1.0,2.372,51.28832242507751,0.12111666666666654,0.0033007674175458608,4,False
AG_00759,Research Assistant,LLaMA-3,Mobile,Decision Making,9,8,0.3,0.4,0.4259,58.02,888.18,577.4,103.6,0.0251,True,0.3582,False,True,0.8053,0.824,2024-12-26 04:16:15,0.8638,0.36777,14.090804597701148,105.074,0.37529999999999997,0.00711985427953561,14.95219123505976,0.45276000000000005,0.8888888888888888,2.4,15.308169596690794,-0.17163333333333342,0.0033529413220314583,4,False
AG_02065,Data Analyst,Gemini-Pro,Edge,Text Processing,6,5,0.5785,0.6098,0.638,16.46,436.24,441.5,82.0,0.0099,True,0.6407,False,True,0.8043,0.7463,2024-12-26 04:16:16,0.7975,0.6057400000000001,55.57247706422019,94.849,0.6087666666666666,0.017622848935171118,61.49158249158248,0.63482,0.8333333333333334,2.8925,26.503037667071688,0.055133333333333256,0.0033751567840054684,4,False
AG_04590,Content Creator,Mixtral-8x7B,Desktop,Creative Writing,4,2,0.523,0.6609,0.682,34.02,899.31,327.5,37.5,0.0146,True,0.6566,False,False,0.7267,0.7591,2024-12-26 04:16:16,0.9117,0.61207,39.23525641025641,65.96199999999999,0.6219666666666667,0.055531806615776086,42.60045662100457,0.6559000000000001,0.5,1.046,26.434744268077598,0.09899999999999998,0.0033411305751704992,4,False
AG_01702,Social Media Manager,InstructGPT,Hybrid,Problem Solving,8,6,0.3688,0.4253,0.4885,98.28,487.55,479.3,86.7,0.0376,True,0.3844,False,True,0.8307,0.6683,2024-12-26 04:16:16,0.7873,0.42166,10.923834196891193,86.908,0.4275333333333333,0.011755417057410952,11.370567375886525,0.4751000000000001,0.75,2.2128,4.960826210826211,-0.12464999999999993,0.0032901654732797768,4,False
AG_03490,Marketing Assistant,GPT-4o,Edge,Planning & Scheduling,3,5,0.8672,0.8278,0.8123,20.93,4415.7,230.0,49.3,0.0093,False,0.8791,False,True,0.7819,0.698,2024-12-26 04:16:16,0.9166,0.8389099999999999,81.44757281553397,131.537,0.8357666666666667,0.07163771055648648,89.8673835125448,0.8613200000000001,1.6666666666666667,4.336,210.97467749641663,0.2724833333333333,0.0033751567840054684,4,False
AG_02407,Task Planner,CodeT5+,Edge,Text Processing,3,2,0.6936,0.724,0.787,33.35,779.52,295.0,35.9,0.0141,True,0.7871,False,True,0.7492,0.8349,2024-12-26 04:16:16,0.9724,0.73074,48.39337748344371,75.09700000000001,0.7348666666666667,0.0743118832916293,52.118203309692674,0.76152,0.6666666666666666,1.3872,23.37391304347826,0.1907000000000001,0.0033751567840054684,4,False
